TransactionID,UserID,Date,TransactionType,Category,Merchant,Amount,CardType,IsFraud
41,U1058,2022-07-28 03:00:00,ONLINE,Entertainment,BigBazaar,10026.88,Credit,0
42,U1169,2024-01-16 05:00:00,UPI,Bills,Amazon,1302.01,Credit,0
43,U1475,2023-05-15 10:00:00,ONLINE,Food,IRCTC,11412.65,Credit,0
44,U1187,2023-06-06 06:00:00,ONLINE,Bills,Ola,13806.51,Credit,1
45,U1463,2024-03-22 00:00:00,ONLINE,Entertainment,IRCTC,3873.4,Debit,0
46,U1270,2023-01-22 04:00:00,ATM,Travel,PetrolPump,5737.67,Credit,0
47,U1189,2024-12-05 20:00:00,POS,Food,IRCTC,11170.08,Credit,0
48,U1445,2022-01-21 22:00:00,CARD,Entertainment,PetrolPump,3764.19,Debit,0
49,U1174,2023-02-02 03:00:00,UPI,Food,PetrolPump,8156.56,Debit,0
50,U1445,2024-04-24 13:00:00,ONLINE,EMI,Zomato,9916.21,Credit,0
51,U1050,2022-11-30 17:00:00,POS,Bills,Swiggy,13195.15,Debit,0
52,U1363,2023-12-10 15:00:00,UPI,Bills,Swiggy,5213.22,Debit,0
53,U1054,2023-04-26 22:00:00,CARD,Food,Flipkart,7415.09,Debit,0
54,U1243,2023-12-28 10:00:00,CARD,Bills,Zomato,2809.76,Debit,0
55,U1319,2024-09-17 09:00:00,ONLINE,Groceries,IRCTC,4648.78,Debit,0
56,U1130,2024-07-25 01:00:00,CARD,EMI,BookMyShow,1469.3,Debit,0
57,U1484,2024-06-30 04:00:00,CARD,EMI,Swiggy,3004.68,Debit,0
58,U1306,2024-04-19 20:00:00,UPI,Bills,BigBazaar,5225.86,Debit,0
59,U1134,2024-04-25 20:00:00,UPI,Fuel,IRCTC,6392.86,Credit,0
60,U1020,2024-04-30 02:00:00,ONLINE,Food,Amazon,10617.82,Debit,0
61,U1328,2024-01-09 01:00:00,POS,Withdrawal,Amazon,6903.81,Debit,0
62,U1166,2023-07-14 19:00:00,ONLINE,EMI,IRCTC,783.28,Credit,0
63,U1273,2022-06-21 10:00:00,ATM,Shopping,IRCTC,11348.39,Credit,0
64,U1387,2023-07-20 08:00:00,CARD,Food,BookMyShow,8015.31,Debit,0
65,U1088,2022-05-21 07:00:00,POS,Travel,Swiggy,14094.16,Credit,0
66,U1315,2022-12-04 07:00:00,UPI,Withdrawal,Zomato,9546.84,Credit,0
67,U1013,2022-08-03 05:00:00,ATM,EMI,BookMyShow,8032.28,Debit,0
68,U1241,2022-06-14 15:00:00,ATM,Bills,IRCTC,4451.71,Debit,0
69,U1264,2024-06-13 12:00:00,CARD,Entertainment,BigBazaar,3585.08,Credit,0
70,U1345,2023-09-13 07:00:00,UPI,Withdrawal,BigBazaar,3489.01,Debit,0
71,U1052,2022-03-07 13:00:00,POS,EMI,Amazon,6136.49,Credit,0
72,U1385,2023-07-11 15:00:00,UPI,Fuel,PetrolPump,2612.0,Debit,0
73,U1339,2024-03-03 10:00:00,CARD,Withdrawal,PetrolPump,12670.94,Debit,0
74,U1091,2022-04-26 08:00:00,ATM,Withdrawal,Myntra,12087.7,Debit,0
75,U1366,2022-08-09 22:00:00,CARD,Bills,Ola,10946.27,Credit,0
76,U1443,2023-07-27 18:00:00,ONLINE,EMI,Amazon,778.82,Debit,0
77,U1454,2024-08-01 02:00:00,ATM,Travel,Swiggy,1124.99,Credit,0
78,U1427,2022-02-20 11:00:00,CARD,Groceries,Zomato,9564.56,Credit,0
79,U1263,2024-11-22 07:00:00,POS,EMI,Uber,11247.08,Credit,0
80,U1430,2023-10-06 13:00:00,POS,Groceries,BookMyShow,449.4,Debit,0
81,U1034,2024-07-19 19:00:00,POS,Fuel,Myntra,4392.98,Credit,0
82,U1205,2023-10-21 23:00:00,ONLINE,Food,Flipkart,2087.43,Debit,0
83,U1080,2022-02-18 08:00:00,UPI,EMI,Swiggy,3507.62,Debit,0
84,U1419,2024-07-20 17:00:00,POS,Fuel,Amazon,7799.74,Credit,0
85,U1049,2022-10-21 09:00:00,ONLINE,Bills,PetrolPump,1683.21,Credit,0
86,U1359,2024-02-21 23:00:00,POS,Shopping,BigBazaar,3486.02,Debit,0
87,U1387,2023-03-28 22:00:00,ONLINE,Bills,Zomato,8495.38,Credit,1
88,U1001,2022-09-02 20:00:00,POS,Withdrawal,Flipkart,7646.23,Credit,0
89,U1389,2024-04-10 04:00:00,UPI,Shopping,Zomato,12870.99,Debit,0
90,U1053,2023-06-22 01:00:00,CARD,Food,Uber,2301.17,Credit,0
91,U1105,2023-08-02 10:00:00,POS,Shopping,Zomato,5579.78,Debit,0
92,U1259,2023-09-07 02:00:00,CARD,Shopping,Myntra,13869.18,Debit,0
93,U1309,2024-05-25 19:00:00,POS,Fuel,Swiggy,11947.18,Debit,0
94,U1476,2022-02-15 15:00:00,UPI,Food,IRCTC,8980.49,Debit,0
95,U1190,2022-09-03 21:00:00,CARD,EMI,BookMyShow,11546.44,Debit,0
96,U1401,2022-12-09 07:00:00,ONLINE,Shopping,IRCTC,6753.29,Debit,0
97,U1217,2023-06-22 23:00:00,POS,Entertainment,BookMyShow,13664.77,Debit,0
98,U1043,2023-08-12 11:00:00,POS,Fuel,Uber,9014.86,Debit,0
99,U1161,2022-02-14 23:00:00,ONLINE,Shopping,Zomato,10449.75,Debit,0
100,U1201,2023-06-06 06:00:00,UPI,Food,Myntra,9797.19,Debit,0
101,U1445,2024-10-28 10:00:00,ATM,Entertainment,BookMyShow,10107.83,Credit,0
102,U1483,2024-03-12 07:00:00,POS,Entertainment,PetrolPump,9633.89,Credit,0
103,U1269,2024-02-04 08:00:00,ONLINE,Bills,IRCTC,1152.78,Credit,0
104,U1350,2022-03-03 09:00:00,ATM,EMI,Swiggy,9077.55,Debit,0
105,U1303,2022-07-23 16:00:00,POS,Withdrawal,BigBazaar,11761.82,Debit,0
106,U1270,2022-07-27 11:00:00,CARD,Bills,Ola,55.92,Credit,0
107,U1455,2022-02-20 12:00:00,ONLINE,Withdrawal,Uber,13380.55,Debit,1
108,U1461,2024-07-09 01:00:00,CARD,EMI,Ola,14285.89,Debit,0
109,U1214,2023-01-11 01:00:00,UPI,Fuel,Zomato,1966.45,Credit,0
110,U1251,2023-07-07 00:00:00,ATM,Entertainment,IRCTC,8049.03,Debit,0
111,U1189,2022-01-18 11:00:00,ONLINE,Food,Amazon,1703.42,Credit,0
112,U1295,2023-10-13 08:00:00,POS,Fuel,Myntra,4280.97,Credit,0
113,U1212,2022-06-02 11:00:00,POS,Groceries,Zomato,9341.31,Credit,0
114,U1207,2022-08-09 03:00:00,ATM,Food,Myntra,4577.65,Debit,0
115,U1236,2024-12-13 06:00:00,CARD,Withdrawal,PetrolPump,5514.97,Debit,0
116,U1337,2023-03-23 11:00:00,CARD,Groceries,Amazon,11204.72,Credit,0
117,U1366,2023-11-05 13:00:00,ONLINE,Travel,BigBazaar,8646.0,Credit,1
118,U1052,2024-12-20 00:00:00,ONLINE,Travel,Ola,7794.77,Debit,0
119,U1279,2022-02-25 20:00:00,CARD,Groceries,Swiggy,4896.39,Credit,0
120,U1409,2023-09-09 21:00:00,ONLINE,Entertainment,BookMyShow,10577.06,Credit,0
121,U1216,2023-03-18 00:00:00,CARD,Bills,BookMyShow,6388.3,Debit,0
122,U1251,2023-09-08 20:00:00,ATM,Withdrawal,IRCTC,13487.27,Debit,0
123,U1187,2022-08-03 01:00:00,ONLINE,Entertainment,Ola,9043.9,Credit,0
124,U1379,2024-06-17 21:00:00,CARD,Shopping,Ola,8097.77,Debit,0
125,U1492,2024-01-10 09:00:00,ONLINE,Shopping,BookMyShow,12056.86,Debit,1
126,U1040,2022-01-25 15:00:00,POS,Food,BigBazaar,7307.35,Credit,0
127,U1156,2022-01-22 22:00:00,POS,Fuel,Zomato,4225.36,Credit,0
128,U1014,2022-11-24 07:00:00,UPI,Entertainment,Uber,2368.7,Debit,0
129,U1300,2023-03-22 15:00:00,CARD,Bills,Zomato,8449.19,Debit,0
130,U1064,2022-02-23 20:00:00,UPI,Travel,Uber,6401.61,Debit,0
131,U1344,2024-01-22 14:00:00,CARD,Fuel,BigBazaar,5990.77,Debit,0
132,U1326,2023-11-22 11:00:00,ONLINE,Travel,Zomato,5273.64,Debit,0
133,U1008,2024-03-08 14:00:00,CARD,Withdrawal,Zomato,10090.6,Debit,0
134,U1343,2024-11-12 00:00:00,POS,Bills,Uber,7809.0,Debit,0
135,U1128,2022-12-26 09:00:00,ONLINE,Fuel,Swiggy,8081.72,Credit,0
136,U1491,2022-09-25 23:00:00,POS,Groceries,Swiggy,4656.47,Credit,0
137,U1135,2024-07-23 05:00:00,ONLINE,Groceries,Ola,9224.08,Debit,0
138,U1471,2023-10-26 14:00:00,CARD,Entertainment,Zomato,6082.57,Credit,0
139,U1062,2023-05-03 16:00:00,CARD,Withdrawal,Flipkart,11553.73,Debit,0
140,U1138,2024-11-02 14:00:00,POS,Groceries,Swiggy,7966.48,Debit,0
141,U1498,2024-05-06 22:00:00,ATM,Travel,Ola,4377.31,Debit,0
142,U1080,2024-08-31 05:00:00,CARD,Withdrawal,Flipkart,2258.56,Credit,0
143,U1391,2022-01-19 05:00:00,ATM,Entertainment,Ola,10514.04,Credit,0
144,U1162,2023-03-26 04:00:00,ONLINE,Food,PetrolPump,5598.03,Credit,0
145,U1418,2023-12-19 08:00:00,ATM,Withdrawal,Swiggy,1029.39,Debit,0
146,U1288,2023-01-10 12:00:00,POS,Groceries,Flipkart,13728.03,Debit,0
147,U1378,2024-11-13 07:00:00,UPI,Entertainment,IRCTC,5830.35,Credit,0
148,U1260,2023-01-09 01:00:00,UPI,Entertainment,BigBazaar,11201.85,Debit,0
149,U1489,2022-08-30 10:00:00,POS,Travel,Myntra,6910.78,Debit,0
150,U1230,2022-05-29 22:00:00,UPI,Travel,IRCTC,13369.35,Debit,0
151,U1040,2024-04-20 09:00:00,POS,Bills,Myntra,484.63,Debit,0
152,U1027,2024-06-19 04:00:00,CARD,EMI,Myntra,3928.13,Credit,0
153,U1134,2024-10-02 14:00:00,ATM,EMI,Ola,8209.35,Credit,0
154,U1200,2023-11-11 05:00:00,UPI,Shopping,Ola,4882.28,Credit,0
155,U1327,2024-08-24 18:00:00,CARD,Fuel,Zomato,11153.19,Debit,0
156,U1267,2022-01-29 12:00:00,UPI,Withdrawal,Swiggy,10341.85,Credit,0
157,U1417,2022-06-26 09:00:00,ONLINE,Withdrawal,Uber,431.59,Credit,0
158,U1032,2023-12-08 17:00:00,POS,Groceries,IRCTC,9027.67,Credit,0
159,U1047,2023-06-26 13:00:00,POS,Travel,Zomato,12546.5,Credit,0
160,U1406,2022-11-30 15:00:00,CARD,Travel,BookMyShow,4768.55,Debit,0
161,U1061,2023-11-24 03:00:00,ONLINE,Groceries,Myntra,2133.42,Debit,0
162,U1215,2022-04-08 00:00:00,ATM,Bills,BookMyShow,11087.54,Credit,0
163,U1292,2024-03-07 11:00:00,ONLINE,Bills,BigBazaar,13511.39,Credit,1
164,U1098,2023-01-11 19:00:00,ONLINE,Fuel,BigBazaar,9870.72,Debit,0
165,U1171,2023-12-02 14:00:00,ATM,Entertainment,Uber,12698.35,Credit,0
166,U1359,2023-01-21 15:00:00,ATM,EMI,PetrolPump,14980.04,Credit,0
167,U1213,2024-01-24 21:00:00,ONLINE,Food,Myntra,7515.82,Credit,0
168,U1474,2022-08-29 22:00:00,UPI,Groceries,Ola,14032.57,Credit,0
169,U1034,2022-02-21 10:00:00,UPI,EMI,Flipkart,5198.21,Debit,1
170,U1448,2024-11-02 13:00:00,ONLINE,Fuel,BigBazaar,11197.44,Credit,1
171,U1226,2022-08-05 21:00:00,UPI,Shopping,Myntra,13526.92,Debit,0
172,U1100,2022-03-01 04:00:00,ATM,Travel,BigBazaar,7837.09,Debit,0
173,U1430,2023-12-16 16:00:00,ATM,Entertainment,PetrolPump,9415.69,Debit,0
174,U1461,2024-07-23 02:00:00,UPI,Withdrawal,BigBazaar,14558.88,Debit,0
175,U1130,2023-02-04 20:00:00,ATM,Shopping,Amazon,3805.14,Debit,0
176,U1256,2024-11-08 11:00:00,POS,Travel,IRCTC,5371.87,Debit,0
177,U1004,2024-03-23 00:00:00,ATM,Fuel,IRCTC,11595.54,Debit,0
178,U1217,2022-07-01 11:00:00,ONLINE,EMI,Swiggy,5147.51,Credit,0
179,U1254,2024-03-31 09:00:00,CARD,EMI,Myntra,7536.59,Credit,0
180,U1397,2024-01-17 18:00:00,UPI,Shopping,BookMyShow,804.34,Debit,0
181,U1358,2024-01-09 03:00:00,UPI,Entertainment,BigBazaar,8503.99,Credit,0
182,U1282,2024-10-20 00:00:00,ATM,Entertainment,BookMyShow,9420.43,Debit,0
183,U1392,2024-08-29 19:00:00,ATM,Fuel,Swiggy,1284.94,Debit,0
184,U1206,2022-12-11 05:00:00,CARD,EMI,BookMyShow,3696.34,Debit,0
185,U1014,2023-07-28 13:00:00,CARD,Shopping,Amazon,6526.14,Credit,0
186,U1345,2024-07-03 06:00:00,ONLINE,Shopping,Myntra,11729.55,Credit,0
187,U1041,2022-09-05 16:00:00,POS,Groceries,IRCTC,373.77,Credit,1
188,U1379,2022-10-24 22:00:00,ONLINE,Withdrawal,Flipkart,5003.68,Debit,0
189,U1460,2023-12-04 16:00:00,UPI,Bills,Swiggy,123.14,Debit,0
190,U1178,2022-08-08 07:00:00,ATM,Groceries,IRCTC,7843.17,Credit,0
191,U1062,2024-05-03 06:00:00,ONLINE,Bills,Swiggy,7506.7,Debit,0
192,U1351,2024-07-28 15:00:00,ATM,Entertainment,BigBazaar,11342.81,Debit,0
193,U1230,2023-09-30 12:00:00,ATM,Bills,PetrolPump,108.6,Debit,0
194,U1240,2022-04-27 09:00:00,ONLINE,Food,BookMyShow,11392.77,Debit,0
195,U1051,2022-05-01 12:00:00,ONLINE,Entertainment,Myntra,13373.84,Credit,1
196,U1095,2022-02-19 22:00:00,CARD,Bills,Uber,4795.43,Debit,0
197,U1387,2024-10-13 11:00:00,POS,Food,BookMyShow,5038.67,Debit,0
198,U1221,2024-02-21 12:00:00,CARD,Fuel,Uber,65.98,Credit,0
199,U1484,2024-02-01 12:00:00,POS,EMI,Ola,6465.24,Credit,0
200,U1406,2024-07-12 22:00:00,ONLINE,EMI,Uber,9214.56,Debit,0
201,U1230,2022-03-20 11:00:00,POS,EMI,Swiggy,1884.29,Credit,0
202,U1236,2024-06-29 11:00:00,UPI,Bills,Ola,9874.62,Credit,0
203,U1142,2022-02-03 05:00:00,CARD,EMI,Myntra,5517.85,Credit,0
204,U1170,2022-12-09 01:00:00,CARD,Travel,PetrolPump,10111.32,Credit,0
205,U1028,2022-12-10 03:00:00,CARD,EMI,IRCTC,3803.9,Credit,0
206,U1035,2023-11-21 02:00:00,ATM,Bills,Zomato,11630.96,Debit,0
207,U1012,2024-06-08 10:00:00,ATM,Bills,BigBazaar,8255.35,Credit,0
208,U1159,2023-09-28 17:00:00,ONLINE,Food,BigBazaar,8021.26,Credit,0
209,U1326,2024-05-02 16:00:00,ONLINE,EMI,Uber,7347.97,Credit,0
210,U1186,2022-12-02 10:00:00,ATM,EMI,PetrolPump,12637.52,Debit,0
211,U1242,2022-09-05 19:00:00,CARD,Withdrawal,BigBazaar,8336.11,Credit,0
212,U1085,2023-02-05 17:00:00,ATM,Entertainment,Myntra,2436.01,Debit,0
213,U1283,2024-05-12 16:00:00,POS,Shopping,Amazon,9405.8,Credit,0
214,U1065,2022-03-20 20:00:00,CARD,Food,Zomato,7735.6,Credit,0
215,U1169,2024-11-27 09:00:00,ATM,EMI,Ola,1080.55,Debit,0
216,U1044,2022-05-23 16:00:00,ONLINE,Travel,PetrolPump,8737.16,Debit,0
217,U1061,2023-01-29 18:00:00,ATM,Groceries,IRCTC,1236.8,Debit,0
218,U1440,2023-07-14 02:00:00,UPI,Travel,Zomato,10886.24,Credit,0
219,U1133,2022-03-25 23:00:00,ATM,Food,PetrolPump,9838.97,Debit,0
220,U1283,2024-08-18 17:00:00,CARD,EMI,Uber,7424.18,Debit,0
221,U1027,2024-07-23 00:00:00,ATM,Withdrawal,Ola,11244.33,Debit,0
222,U1107,2022-07-21 09:00:00,ONLINE,Withdrawal,Myntra,4247.1,Debit,0
223,U1043,2023-02-17 06:00:00,POS,Withdrawal,IRCTC,6724.07,Debit,0
224,U1339,2023-10-27 06:00:00,UPI,Travel,Uber,278.56,Debit,0
225,U1285,2023-01-13 17:00:00,CARD,Withdrawal,PetrolPump,14824.99,Credit,0
226,U1445,2022-01-24 13:00:00,ONLINE,Travel,Swiggy,891.01,Debit,0
227,U1330,2022-11-05 20:00:00,UPI,Shopping,Flipkart,1611.61,Debit,0
228,U1127,2024-02-06 18:00:00,ATM,Bills,Swiggy,7448.54,Debit,0
229,U1347,2023-02-24 21:00:00,UPI,Shopping,PetrolPump,5669.75,Debit,0
230,U1472,2023-03-06 19:00:00,POS,Food,Uber,8008.61,Credit,0
231,U1230,2023-06-19 18:00:00,UPI,Entertainment,BigBazaar,12533.42,Debit,0
232,U1189,2022-04-07 10:00:00,UPI,Travel,BigBazaar,2421.38,Credit,0
233,U1224,2022-07-03 20:00:00,ATM,Groceries,Myntra,9611.0,Credit,0
234,U1384,2022-06-11 19:00:00,ATM,Groceries,Amazon,319.63,Debit,0
235,U1376,2023-04-20 08:00:00,CARD,Food,Amazon,11861.17,Debit,0
236,U1282,2023-02-23 19:00:00,ATM,Withdrawal,BookMyShow,12243.66,Credit,0
237,U1445,2022-12-09 08:00:00,UPI,EMI,Flipkart,5721.7,Debit,0
238,U1120,2023-05-03 07:00:00,POS,Food,Zomato,2641.33,Debit,0
239,U1115,2024-08-21 11:00:00,ATM,EMI,Uber,12175.36,Credit,0
240,U1460,2024-12-07 09:00:00,CARD,Fuel,Myntra,13642.68,Debit,0
241,U1232,2022-11-26 06:00:00,CARD,Food,BigBazaar,1175.84,Credit,0
242,U1258,2023-07-04 11:00:00,UPI,Travel,Uber,8718.11,Debit,0
243,U1358,2024-01-03 05:00:00,ATM,Groceries,IRCTC,14075.41,Credit,0
244,U1197,2024-09-07 20:00:00,ATM,Fuel,Amazon,9673.85,Debit,0
245,U1455,2024-09-15 14:00:00,CARD,Bills,IRCTC,12313.79,Debit,0
246,U1410,2023-05-28 00:00:00,ATM,Travel,Myntra,3485.84,Credit,0
247,U1136,2023-08-16 02:00:00,UPI,Shopping,Zomato,1579.91,Debit,0
248,U1317,2022-10-14 20:00:00,POS,EMI,Uber,5674.01,Debit,0
249,U1164,2024-03-25 05:00:00,UPI,Shopping,Myntra,5956.9,Debit,0
250,U1224,2023-03-16 23:00:00,ATM,Entertainment,IRCTC,11803.75,Debit,0
251,U1306,2024-07-01 16:00:00,UPI,Groceries,BigBazaar,6124.1,Debit,0
252,U1233,2024-01-26 05:00:00,ONLINE,Groceries,Uber,3587.2,Credit,0
253,U1171,2022-06-03 16:00:00,ONLINE,Food,Myntra,13300.79,Debit,1
254,U1151,2024-09-21 13:00:00,ATM,EMI,Ola,11750.68,Debit,0
255,U1462,2023-08-12 02:00:00,ATM,Withdrawal,Uber,10026.16,Debit,0
256,U1314,2022-08-12 17:00:00,POS,Groceries,Myntra,3146.33,Debit,0
257,U1373,2024-07-06 20:00:00,UPI,EMI,Amazon,3111.94,Debit,0
258,U1159,2023-05-13 10:00:00,POS,Travel,IRCTC,7395.76,Debit,0
259,U1095,2024-11-27 09:00:00,ATM,EMI,Swiggy,7987.27,Credit,0
260,U1471,2022-06-17 15:00:00,ATM,Bills,Amazon,3878.62,Debit,0
261,U1232,2023-10-28 22:00:00,CARD,Food,Myntra,1894.39,Debit,0
262,U1179,2023-12-14 12:00:00,POS,EMI,Uber,5479.9,Credit,0
263,U1112,2022-06-15 07:00:00,ATM,Entertainment,Swiggy,6464.79,Credit,0
264,U1317,2022-11-06 07:00:00,ONLINE,Withdrawal,PetrolPump,835.5,Debit,0
265,U1496,2022-09-26 18:00:00,CARD,Bills,BookMyShow,8491.37,Credit,0
266,U1441,2023-05-24 21:00:00,UPI,EMI,Ola,80.06,Debit,0
267,U1051,2022-05-14 23:00:00,CARD,Withdrawal,Zomato,2310.04,Debit,0
268,U1267,2024-10-05 17:00:00,UPI,Withdrawal,Zomato,2247.05,Debit,0
269,U1294,2022-01-17 06:00:00,ONLINE,Groceries,Flipkart,10328.94,Debit,0
270,U1385,2024-12-30 19:00:00,UPI,Bills,Flipkart,7314.08,Credit,0
271,U1386,2024-03-20 05:00:00,POS,Bills,BookMyShow,12548.74,Debit,0
272,U1112,2022-01-10 16:00:00,UPI,Shopping,Ola,4009.49,Debit,0
273,U1100,2024-03-24 03:00:00,UPI,Food,Myntra,3198.09,Credit,0
274,U1112,2022-11-15 02:00:00,CARD,Shopping,Myntra,12053.28,Credit,0
275,U1439,2023-04-25 02:00:00,ONLINE,Fuel,Flipkart,6690.85,Credit,0
276,U1080,2023-03-31 20:00:00,UPI,Food,BookMyShow,4149.75,Debit,0
277,U1186,2022-01-10 17:00:00,POS,Travel,Flipkart,6302.98,Credit,0
278,U1112,2022-02-27 23:00:00,CARD,Food,Myntra,6407.84,Credit,0
279,U1001,2023-04-07 20:00:00,ONLINE,EMI,Myntra,8603.01,Debit,0
280,U1129,2023-01-29 15:00:00,ONLINE,Fuel,Swiggy,613.11,Debit,0
281,U1219,2023-08-15 00:00:00,ATM,Travel,Flipkart,3756.84,Credit,0
282,U1053,2023-05-11 02:00:00,POS,Bills,Swiggy,7030.07,Debit,0
283,U1342,2023-09-11 06:00:00,CARD,Withdrawal,Ola,8157.28,Debit,0
284,U1484,2023-12-21 17:00:00,CARD,Entertainment,Myntra,2423.4,Debit,0
285,U1223,2022-11-26 06:00:00,POS,Food,PetrolPump,2944.66,Credit,0
286,U1224,2023-06-21 15:00:00,ONLINE,EMI,Zomato,10927.66,Credit,0
287,U1384,2023-12-15 17:00:00,UPI,Shopping,BookMyShow,11794.08,Credit,0
288,U1402,2023-02-17 23:00:00,POS,Withdrawal,Flipkart,1173.38,Credit,0
289,U1125,2022-01-18 19:00:00,CARD,Groceries,PetrolPump,14851.7,Debit,0
290,U1129,2022-01-31 11:00:00,POS,Bills,IRCTC,6525.2,Debit,0
291,U1052,2022-02-03 07:00:00,ONLINE,Travel,Uber,8806.98,Debit,0
292,U1171,2024-08-11 19:00:00,ATM,Bills,Myntra,8925.08,Debit,0
293,U1217,2022-10-20 17:00:00,ATM,Entertainment,Zomato,5223.03,Debit,0
294,U1159,2023-08-27 09:00:00,UPI,Withdrawal,IRCTC,8194.62,Credit,0
295,U1197,2024-11-24 19:00:00,UPI,Withdrawal,PetrolPump,8771.86,Debit,0
296,U1415,2022-11-14 16:00:00,ONLINE,Food,Zomato,11423.4,Credit,0
297,U1246,2024-10-26 14:00:00,UPI,Entertainment,Amazon,9943.8,Credit,0
298,U1323,2023-09-16 09:00:00,ATM,Food,IRCTC,6727.82,Debit,0
299,U1438,2024-06-25 23:00:00,ONLINE,Travel,Uber,2910.39,Debit,0
300,U1202,2024-07-30 07:00:00,ONLINE,Groceries,Swiggy,426.14,Debit,0
301,U1183,2024-02-28 10:00:00,ONLINE,Travel,PetrolPump,9795.22,Credit,0
302,U1122,2024-04-17 14:00:00,POS,Withdrawal,Amazon,7191.69,Debit,0
303,U1400,2022-12-10 00:00:00,UPI,Fuel,PetrolPump,14484.6,Credit,0
304,U1254,2022-05-21 07:00:00,CARD,Withdrawal,Swiggy,1519.84,Credit,0
305,U1293,2024-06-10 08:00:00,ATM,Food,Swiggy,1135.72,Debit,0
306,U1279,2023-07-07 14:00:00,UPI,Travel,Ola,2760.11,Credit,0
307,U1324,2022-08-06 21:00:00,ATM,Groceries,BookMyShow,5683.67,Credit,0
308,U1371,2024-09-17 12:00:00,UPI,Shopping,Ola,2668.86,Debit,0
309,U1097,2024-02-23 07:00:00,CARD,Withdrawal,IRCTC,6984.5,Debit,0
310,U1197,2023-07-27 19:00:00,ATM,Bills,PetrolPump,5128.63,Credit,0
311,U1469,2024-09-08 11:00:00,CARD,Travel,Amazon,14992.42,Credit,0
312,U1394,2024-03-16 13:00:00,ATM,Travel,IRCTC,14502.21,Debit,0
